1;亜;7;Ni;ア
2;哀;9;"Kuchi, Kuchihen";アイ、あわ-れ、あわ-れむ
3;挨;10;Tehen;アイ
4;愛;13;"Kokoro, Risshinben, Shitagokoro";アイ
5;曖;17;"Nichi, Nichihen";アイ
6;悪;11;"Kokoro, Risshinben, Shitagokoro";アク、オ、わる-い
7;握;12;Tehen;アク、にぎ-る
8;圧;5;"Tsuchi, Tsuchihen";アツ
9;扱;6;Tehen;あつか-う
10;宛;8;Ukanmuri;あ-てる
11;嵐;12;"Yama, Yamahen";あらし
12;安;6;Ukanmuri;アン、やす-い
13;案;10;"Ki, Kihen";アン
14;暗;13;"Nichi, Nichihen";アン、くら-い
15;以;5;"Hito, Ninben, Hitoyane";イ
16;衣;6;"Koromo, Koromohen";イ、ころも
17;位;7;"Hito, Ninben, Hitoyane";イ、くらい
18;囲;7;Kunigamae;イ、かこ-む、かこ-う
19;医;7;Kakushigamae;イ
20;依;8;"Hito, Ninben, Hitoyane";イ、[エ]
21;委;8;"Onna, Onnahen";イ、ゆだ-ねる
22;威;9;"Onna, Onnahen";イ
23;為;9;"Hi, Hihen, Renga";イ
24;畏;9;"Ta, Tahen";イ、おそ-れる
25;胃;9;"Niku, Nikuzuki";イ
26;尉;11;Sun;イ
27;異;11;"Ta, Tahen";イ、こと
28;移;11;"Nogi, Nogihen";イ、うつ-る、うつ-す
29;萎;11;Kusakanmuri;イ、な-える
30;偉;12;"Hito, Ninben, Hitoyane";イ、えら-い
31;椅;12;"Ki, Kihen";イ
32;彙;13;Keigashira;イ
33;意;13;"Kokoro, Risshinben, Shitagokoro";イ
34;違;13;Shinnyoo;イ、ちが-う、ちが-える
35;維;14;"Ito, Itohen";イ
36;慰;15;"Kokoro, Risshinben, Shitagokoro";イ、なぐさ-める、なぐさ-む
37;遺;15;Shinnyoo;イ、[ユイ]
38;緯;16;"Ito, Itohen";イ
39;域;11;"Tsuchi, Tsuchihen";イキ
40;育;8;"Niku, Nikuzuki";イク、そだ-つ、そだ-てる、はぐく-む
41;一;1;Ichi;イチ、イツ、ひと、ひと-つ
42;壱;7;Samurai;イチ
43;逸;11;Shinnyoo;イツ
44;茨;9;Kusakanmuri;[いばら]
45;芋;6;Kusakanmuri;いも
46;引;4;"Yumi, Yumihen";イン、ひ-く、ひ-ける
47;印;6;"Fushizukuri, Warifu";イン、しるし
48;因;6;Kunigamae;イン、よ-る
49;咽;9;"Kuchi, Kuchihen";イン
50;姻;9;"Onna, Onnahen";イン
51;員;10;"Kuchi, Kuchihen";イン
52;院;10;Kozatohen;イン
53;淫;11;"Mizu, Sanzui, Shitamizu";イン、みだ-ら
54;陰;11;Kozatohen;イン、かげ、かげ-る
55;飲;12;"Shoku, Shokuhen";イン、の-む
56;隠;14;Kozatohen;イン、かく-す、かく-れる
57;韻;19;Oto;イン
58;右;5;"Kuchi, Kuchihen";ウ、ユウ、みぎ
59;宇;6;Ukanmuri;ウ
60;羽;6;Hane;ウ、は、はね
61;雨;8;"Ame, Amekanmuri";ウ、あめ、[あま]
62;唄;10;"Kuchi, Kuchihen";[うた]
63;鬱;29;"Cho, Nioizake";ウツ
64;畝;10;"Ta, Tahen";うね
65;浦;10;"Mizu, Sanzui, Shitamizu";うら
66;運;12;Shinnyoo;ウン、はこ-ぶ
67;雲;12;"Ame, Amekanmuri";ウン、くも
68;永;5;"Mizu, Sanzui, Shitamizu";エイ、なが-い
69;泳;8;"Mizu, Sanzui, Shitamizu";エイ、およ-ぐ
70;英;8;Kusakanmuri;エイ
71;映;9;"Nichi, Nichihen";エイ、うつ-る、うつ-す、は-える
72;栄;9;"Ki, Kihen";エイ、さか-える、は-え、は-える
73;営;12;Tsukanmuri;エイ、いとな-む
74;詠;12;"Gon, Gonben";エイ、よ-む
75;影;15;Sanzukuri;エイ、かげ
76;鋭;15;"Kane, Kanehen";エイ、するど-い
77;衛;16;Gyoogamae;エイ
78;易;8;"Nichi, Nichihen";エキ、イ、やさ-しい
79;疫;9;Yamaidare;エキ、[ヤク]
80;益;10;Sara;エキ、[ヤク]
81;液;11;"Mizu, Sanzui, Shitamizu";エキ
82;駅;14;"Uma, Umahen";エキ
83;悦;10;"Kokoro, Risshinben, Shitagokoro";エツ
84;越;12;"Hashiru, Soonyoo";エツ、こ-す、こ-える
85;謁;15;"Gon, Gonben";エツ
86;閲;15;Mongamae;エツ
87;円;4;Doogamae;エン、まる-い
88;延;8;Ennyoo;エン、の-びる、の-べる、の-ばす
89;沿;8;"Mizu, Sanzui, Shitamizu";エン、そ-う
90;炎;8;"Hi, Hihen, Renga";エン、ほのお
91;怨;9;"Kokoro, Risshinben, Shitagokoro";エン、オン
92;宴;10;Ukanmuri;エン
93;媛;12;"Onna, Onnahen";エン
94;援;12;Tehen;エン
95;園;13;Kunigamae;エン、その
96;煙;13;"Hi, Hihen, Renga";エン、けむ-る、けむり、けむ-い
97;猿;13;"Inu, Kemonohen";エン、さる
98;遠;13;Shinnyoo;エン、[オン]、とお-い
99;鉛;13;"Kane, Kanehen";エン、なまり
100;塩;13;"Tsuchi, Tsuchihen";エン、しお
101;演;14;"Mizu, Sanzui, Shitamizu";エン
102;縁;15;"Ito, Itohen";エン、ふち
103;艶;19;Iro;エン、つや
104;汚;6;"Mizu, Sanzui, Shitamizu";オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い
105;王;4;"Tama, Oo";オウ
106;凹;5;Ukebako;オウ
107;央;5;Dai;オウ
108;応;7;"Kokoro, Risshinben, Shitagokoro";オウ、こた-える
109;往;8;Gyooninben;オウ
110;押;8;Tehen;オウ、お-す、お-さえる
111;旺;8;"Nichi, Nichihen";オウ
112;欧;8;Akubi;オウ
113;殴;8;Rumata;オウ、なぐ-る
114;桜;10;"Ki, Kihen";オウ、さくら
115;翁;10;Hane;オウ
116;奥;12;Dai;オウ、おく
117;横;15;"Ki, Kihen";オウ、よこ
118;岡;8;"Yama, Yamahen";[おか]
119;屋;9;Shikabane;オク、や
120;億;15;"Hito, Ninben, Hitoyane";オク
121;憶;16;"Kokoro, Risshinben, Shitagokoro";オク
122;臆;17;"Niku, Nikuzuki";オク
123;虞;13;Toragashira;おそれ
124;乙;1;"Otsu, Otsunyoo";オツ
125;俺;10;"Hito, Ninben, Hitoyane";おれ
126;卸;9;"Fushizukuri, Warifu";おろ-す、おろし
127;音;9;Oto;オン、イン、おと、ね
128;恩;10;"Kokoro, Risshinben, Shitagokoro";オン
129;温;12;"Mizu, Sanzui, Shitamizu";オン、あたた-か、あたた-かい、あたた-まる、あたた-める
130;穏;16;"Nogi, Nogihen";オン、おだ-やか
131;下;3;Ichi;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
132;化;4;Hi;カ、ケ、ば-ける、ば-かす
133;火;4;"Hi, Hihen, Renga";カ、ひ、[ほ]
134;加;5;Chikara;カ、くわ-える、くわ-わる
135;可;5;"Kuchi, Kuchihen";カ
136;仮;6;"Hito, Ninben, Hitoyane";カ、[ケ]、かり
137;何;7;"Hito, Ninben, Hitoyane";カ、なに、[なん]
138;花;7;Kusakanmuri;カ、はな
139;佳;8;"Hito, Ninben, Hitoyane";カ
140;価;8;"Hito, Ninben, Hitoyane";カ、あたい
141;果;8;"Ki, Kihen";カ、は-たす、は-てる、は-て
142;河;8;"Mizu, Sanzui, Shitamizu";カ、かわ
143;苛;8;Kusakanmuri;カ
144;科;9;"Nogi, Nogihen";カ
145;架;9;"Ki, Kihen";カ、か-ける、か-かる
146;夏;10;Suinyoo;カ、[ゲ]、なつ
147;家;10;Ukanmuri;カ、ケ、いえ、や
148;荷;10;Kusakanmuri;カ、に
149;華;10;Kusakanmuri;カ、[ケ]、はな
150;菓;11;Kusakanmuri;カ
151;貨;11;"Kai, Kaihen";カ
152;渦;12;"Mizu, Sanzui, Shitamizu";カ、うず
153;過;12;Shinnyoo;カ、す-ぎる、す-ごす、あやま-つ、あやま-ち
154;嫁;13;"Onna, Onnahen";カ、よめ、とつ-ぐ
155;暇;13;"Nichi, Nichihen";カ、ひま
156;禍;13;"Shimesu, Shimesuhen";カ
157;靴;13;"Kakunokawa, Kawahen";カ、くつ
158;寡;14;Ukanmuri;カ
159;歌;14;Akubi;カ、うた、うた-う
160;箇;14;"Take, Takekanmuri";カ
161;稼;15;"Nogi, Nogihen";カ、かせ-ぐ
162;課;15;"Gon, Gonben";カ
163;蚊;10;"Mushi, Mushihen";か
164;牙;4;"Kiba, Kibahen";ガ、[ゲ]、きば
165;瓦;5;Kawara;ガ、かわら
166;我;7;"Hokogamae, Hokozukuri";ガ、われ、わ
167;画;8;"Ta, Tahen";ガ、カク
168;芽;8;Kusakanmuri;ガ、め
169;賀;12;"Kai, Kaihen";ガ
170;雅;13;Furutori;ガ
171;餓;15;"Shoku, Shokuhen";ガ
172;介;4;"Hito, Ninben, Hitoyane";カイ
173;回;6;Kunigamae;カイ、[エ]、まわ-る、まわ-す
174;灰;6;"Hi, Hihen, Renga";カイ、はい
175;会;6;"Hito, Ninben, Hitoyane";カイ、エ、あ-う
176;快;7;"Kokoro, Risshinben, Shitagokoro";カイ、こころよ-い
177;戒;7;"Hokogamae, Hokozukuri";カイ、いまし-める
178;改;7;Nobun;カイ、あらた-める、あらた-まる
179;怪;8;"Kokoro, Risshinben, Shitagokoro";カイ、あや-しい、あや-しむ
180;拐;8;Tehen;カイ
181;悔;9;"Kokoro, Risshinben, Shitagokoro";カイ、く-いる、く-やむ、くや-しい
182;海;9;"Mizu, Sanzui, Shitamizu";カイ、うみ
183;界;9;"Ta, Tahen";カイ
184;皆;9;Shiro;カイ、みな
185;械;11;"Ki, Kihen";カイ
186;絵;12;"Ito, Itohen";カイ、エ
187;開;12;Mongamae;カイ、ひら-く、ひら-ける、あ-く、あ-ける
188;階;12;Kozatohen;カイ
189;塊;13;"Tsuchi, Tsuchihen";カイ、かたまり
190;楷;13;"Ki, Kihen";カイ
191;解;13;"Tsuno, Tsunohen";カイ、ゲ、と-く、と-かす、と-ける
192;潰;15;"Mizu, Sanzui, Shitamizu";カイ、つぶ-す、つぶ-れる
193;壊;16;"Tsuchi, Tsuchihen";カイ、こわ-す、こわ-れる
194;懐;16;"Kokoro, Risshinben, Shitagokoro";カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける
195;諧;16;"Gon, Gonben";カイ
196;貝;7;"Kai, Kaihen";かい
197;外;5;Yuube;ガイ、ゲ、そと、ほか、はず-す、はず-れる
198;劾;8;Chikara;ガイ
199;害;10;Ukanmuri;ガイ
200;崖;11;"Yama, Yamahen";ガイ、がけ
201;涯;11;"Mizu, Sanzui, Shitamizu";ガイ
202;街;12;Gyoogamae;ガイ、[カイ]、まち
203;慨;13;"Kokoro, Risshinben, Shitagokoro";ガイ
204;蓋;13;Kusakanmuri;ガイ、ふた
205;該;13;"Gon, Gonben";ガイ
206;概;14;"Ki, Kihen";ガイ
207;骸;16;"Hone, Honehen";ガイ
208;垣;9;"Tsuchi, Tsuchihen";かき
209;柿;9;"Ki, Kihen";かき
210;各;6;"Kuchi, Kuchihen";カク、おのおの
211;角;7;"Tsuno, Tsunohen";カク、かど、つの
212;拡;8;Tehen;カク
213;革;9;"Kakunokawa, Kawahen";カク、かわ
214;格;10;"Ki, Kihen";カク、[コウ]
215;核;10;"Ki, Kihen";カク
216;殻;11;Rumata;カク、から
217;郭;11;Oozato;カク
218;覚;12;Miru;カク、おぼ-える、さ-ます、さ-める
219;較;13;"Kuruma, Kurumahen";カク
220;隔;13;Kozatohen;カク、へだ-てる、へだ-たる
221;閣;14;Mongamae;カク
222;確;15;"Ishi, Ishihen";カク、たし-か、たし-かめる
223;獲;16;"Inu, Kemonohen";カク、え-る
224;嚇;17;"Kuchi, Kuchihen";カク
225;穫;18;"Nogi, Nogihen";カク
226;学;8;"Ko, Kohen";ガク、まな-ぶ
227;岳;8;"Yama, Yamahen";ガク、たけ
228;楽;13;"Ki, Kihen";ガク、ラク、たの-しい、たの-しむ
229;額;18;Oogai;ガク、ひたい
230;顎;18;Oogai;ガク、あご
231;掛;11;Tehen;か-ける、か-かる、かかり
232;潟;15;"Mizu, Sanzui, Shitamizu";かた
233;括;9;Tehen;カツ
234;活;9;"Mizu, Sanzui, Shitamizu";カツ
235;喝;11;"Kuchi, Kuchihen";カツ
236;渇;11;"Mizu, Sanzui, Shitamizu";カツ、かわ-く
237;割;12;"Katana, Rittoo";カツ、わ-る、わり、わ-れる、さ-く
238;葛;12;Kusakanmuri;カツ、くず
239;滑;13;"Mizu, Sanzui, Shitamizu";カツ、コツ、すべ-る、なめ-らか
240;褐;13;"Koromo, Koromohen";カツ
241;轄;17;"Kuruma, Kurumahen";カツ
242;且;5;Ichi;か-つ
243;株;10;"Ki, Kihen";かぶ
244;釜;10;"Kane, Kanehen";かま
245;鎌;18;"Kane, Kanehen";かま
246;刈;4;"Katana, Rittoo";か-る
247;干;3;Ichijuu;カン、ほ-す、ひ-る
248;刊;5;"Katana, Rittoo";カン
249;甘;5;Amai;カン、あま-い、あま-える、あま-やかす
250;汗;6;"Mizu, Sanzui, Shitamizu";カン、あせ
251;缶;6;Hotogi;カン
252;完;7;Ukanmuri;カン
253;肝;7;"Niku, Nikuzuki";カン、きも
254;官;8;Ukanmuri;カン
255;冠;9;Wakanmuri;カン、かんむり
256;巻;9;Onore;カン、ま-く、まき
257;看;9;"Me, Mehen";カン
258;陥;10;Kozatohen;カン、おちい-る、おとしい-れる
259;乾;11;"Otsu, Otsunyoo";カン、かわ-く、かわ-かす
260;勘;11;Chikara;カン
261;患;11;"Kokoro, Risshinben, Shitagokoro";カン、わずら-う
262;貫;11;"Kai, Kaihen";カン、つらぬ-く
263;寒;12;Ukanmuri;カン、さむ-い
264;喚;12;"Kuchi, Kuchihen";カン
265;堪;12;"Tsuchi, Tsuchihen";カン、た-える
266;換;12;Tehen;カン、か-える、か-わる
267;敢;12;Nobun;カン
268;棺;12;"Ki, Kihen";カン
269;款;12;Akubi;カン
270;間;12;Mongamae;カン、ケン、あいだ、ま
271;閑;12;Mongamae;カン
272;勧;13;Chikara;カン、すす-める
273;寛;13;Ukanmuri;カン
274;幹;13;Ichijuu;カン、みき
275;感;13;"Kokoro, Risshinben, Shitagokoro";カン
276;漢;13;"Mizu, Sanzui, Shitamizu";カン
277;慣;14;"Kokoro, Risshinben, Shitagokoro";カン、な-れる、な-らす
278;管;14;"Take, Takekanmuri";カン、くだ
279;関;14;Mongamae;カン、せき、かか-わる
280;歓;15;Akubi;カン
281;監;15;Sara;カン
282;緩;15;"Ito, Itohen";カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める
283;憾;16;"Kokoro, Risshinben, Shitagokoro";カン
284;還;16;Shinnyoo;カン
285;館;16;"Shoku, Shokuhen";カン、やかた
286;環;17;"Tama, Oo";カン
287;簡;18;"Take, Takekanmuri";カン
288;観;18;Miru;カン
289;韓;18;Nameshigawa;カン
290;艦;21;"Fune, Funehen";カン
291;鑑;23;"Kane, Kanehen";カン、かんが-みる
292;丸;3;Ten;ガン、まる、まる-い、まる-める
293;含;7;"Kuchi, Kuchihen";ガン、ふく-む、ふく-める
294;岸;8;"Yama, Yamahen";ガン、きし
295;岩;8;"Yama, Yamahen";ガン、いわ
296;玩;8;"Tama, Oo";ガン
297;眼;11;"Me, Mehen";ガン、[ゲン]、まなこ
298;頑;13;Oogai;ガン
299;顔;18;Oogai;ガン、かお
300;願;19;Oogai;ガン、ねが-う
301;企;6;"Hito, Ninben, Hitoyane";キ、くわだ-てる
302;伎;6;"Hito, Ninben, Hitoyane";キ
303;危;6;"Fushizukuri, Warifu";キ、あぶ-ない、あや-うい、あや-ぶむ
304;机;6;"Ki, Kihen";キ、つくえ
305;気;6;Kigamae;キ、ケ
306;岐;7;"Yama, Yamahen";キ
307;希;7;"Haba, Kinben";キ
308;忌;7;"Kokoro, Risshinben, Shitagokoro";キ、い-む、い-まわしい
309;汽;7;"Mizu, Sanzui, Shitamizu";キ
310;奇;8;Dai;キ
311;祈;8;"Shimesu, Shimesuhen";キ、いの-る
312;季;8;"Ko, Kohen";キ
313;紀;9;"Ito, Itohen";キ
314;軌;9;"Kuruma, Kurumahen";キ
315;既;10;Munyoo;キ、すで-に
316;記;10;"Gon, Gonben";キ、しる-す
317;起;10;"Hashiru, Soonyoo";キ、お-きる、お-こる、お-こす
318;飢;10;"Shoku, Shokuhen";キ、う-える
319;鬼;10;"Oni, Kinyoo";キ、おに
320;帰;10;"Haba, Kinben";キ、かえ-る、かえ-す
321;基;11;"Tsuchi, Tsuchihen";キ、もと、もとい
322;寄;11;Ukanmuri;キ、よ-る、よ-せる
323;規;11;Miru;キ
324;亀;11;"Otsu, Otsunyoo";キ、かめ
325;喜;12;"Kuchi, Kuchihen";キ、よろこ-ぶ
326;幾;12;Itogashira;キ、いく
327;揮;12;Tehen;キ
328;期;12;"Tsuki, Tsukihen";キ、[ゴ]
329;棋;12;"Ki, Kihen";キ
330;貴;12;"Kai, Kaihen";キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
331;棄;13;"Ki, Kihen";キ
332;毀;13;Rumata;キ
333;旗;14;"Hoo, Hoohen";キ、はた
334;器;15;"Kuchi, Kuchihen";キ、うつわ
335;畿;15;"Ta, Tahen";キ
336;輝;15;"Kuruma, Kurumahen";キ、かがや-く
337;機;16;"Ki, Kihen";キ、はた
338;騎;18;"Uma, Umahen";キ
339;技;7;Tehen;ギ、わざ
340;宜;8;Ukanmuri;ギ
341;偽;11;"Hito, Ninben, Hitoyane";ギ、いつわ-る、にせ
342;欺;12;Akubi;ギ、あざむ-く
343;義;13;Hitsuji;ギ
344;疑;14;Hiki;ギ、うたが-う
345;儀;15;"Hito, Ninben, Hitoyane";ギ
346;戯;15;"Hokogamae, Hokozukuri";ギ、たわむ-れる
347;擬;17;Tehen;ギ
348;犠;17;"Ushi, Ushihen";ギ
349;議;20;"Gon, Gonben";ギ
350;菊;11;Kusakanmuri;キク
351;吉;6;"Kuchi, Kuchihen";キチ、キツ
352;喫;12;"Kuchi, Kuchihen";キツ
353;詰;13;"Gon, Gonben";キツ、つ-める、つ-まる、つ-む
354;却;7;"Fushizukuri, Warifu";キャク
355;客;9;Ukanmuri;キャク、カク
356;脚;11;"Niku, Nikuzuki";キャク、[キャ]、あし
357;逆;9;Shinnyoo;ギャク、さか、さか-らう
358;虐;9;Toragashira;ギャク、しいた-げる
359;九;2;"Otsu, Otsunyoo";キュウ、ク、ここの、ここの-つ
360;久;3;No;キュウ、[ク]、ひさ-しい
361;及;3;No;キュウ、およ-ぶ、およ-び、およ-ぼす
362;弓;3;"Yumi, Yumihen";キュウ、ゆみ
363;丘;5;Ichi;キュウ、おか
364;旧;5;"Nichi, Nichihen";キュウ
365;休;6;"Hito, Ninben, Hitoyane";キュウ、やす-む、やす-まる、やす-める
366;吸;6;"Kuchi, Kuchihen";キュウ、す-う
367;朽;6;"Ki, Kihen";キュウ、く-ちる
368;臼;6;Usu;キュウ、うす
369;求;7;"Mizu, Sanzui, Shitamizu";キュウ、もと-める
370;究;7;"Ana, Anakanmuri";キュウ、きわ-める
371;泣;8;"Mizu, Sanzui, Shitamizu";キュウ、な-く
372;急;9;"Kokoro, Risshinben, Shitagokoro";キュウ、いそ-ぐ
373;級;9;"Ito, Itohen";キュウ
374;糾;9;"Ito, Itohen";キュウ
375;宮;10;Ukanmuri;キュウ、グウ、[ク]、みや
376;救;11;Nobun;キュウ、すく-う
377;球;11;"Tama, Oo";キュウ、たま
378;給;12;"Ito, Itohen";キュウ
379;嗅;13;"Kuchi, Kuchihen";キュウ、か-ぐ
380;窮;15;"Ana, Anakanmuri";キュウ、きわ-める、きわ-まる
381;牛;4;"Ushi, Ushihen";ギュウ、うし
382;去;5;Mu;キョ、コ、さ-る
383;巨;5;Hakogamae;キョ
384;居;8;Shikabane;キョ、い-る
385;拒;8;Tehen;キョ、こば-む
386;拠;8;Tehen;キョ、コ
387;挙;10;Te;キョ、あ-げる、あ-がる
388;虚;11;Toragashira;キョ、[コ]
389;許;11;"Gon, Gonben";キョ、ゆる-す
390;距;12;"Ashi, Ashihen";キョ
391;魚;11;"Uo, Uohen";ギョ、うお、さかな
392;御;12;Gyooninben;ギョ、ゴ、おん
393;漁;14;"Mizu, Sanzui, Shitamizu";ギョ、リョウ
394;凶;4;Ukebako;キョウ
395;共;6;Hachi;キョウ、とも
396;叫;6;"Kuchi, Kuchihen";キョウ、さけ-ぶ
397;狂;7;"Inu, Kemonohen";キョウ、くる-う、くる-おしい
398;京;8;Nabebuta;キョウ、ケイ
399;享;8;Nabebuta;キョウ
400;供;8;"Hito, Ninben, Hitoyane";キョウ、[ク]、そな-える、とも
401;協;8;Juu;キョウ
402;況;8;"Mizu, Sanzui, Shitamizu";キョウ
403;峡;9;"Yama, Yamahen";キョウ
404;挟;9;Tehen;キョウ、はさ-む、はさ-まる
405;狭;9;"Inu, Kemonohen";キョウ、せま-い、せば-める、せば-まる
406;恐;10;"Kokoro, Risshinben, Shitagokoro";キョウ、おそ-れる、おそ-ろしい
407;恭;10;"Kokoro, Risshinben, Shitagokoro";キョウ、うやうや-しい
408;胸;10;"Niku, Nikuzuki";キョウ、むね、[むな]
409;脅;10;"Niku, Nikuzuki";キョウ、おびや-かす、おど-す、おど-かす
410;強;11;"Yumi, Yumihen";キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
411;教;11;Nobun;キョウ、おし-える、おそ-わる
412;郷;11;Oozato;キョウ、ゴウ
413;境;14;"Tsuchi, Tsuchihen";キョウ、[ケイ]、さかい
414;橋;16;"Ki, Kihen";キョウ、はし
415;矯;17;"Ya, Yahen";キョウ、た-める
416;鏡;19;"Kane, Kanehen";キョウ、かがみ
417;競;20;Tatsu;キョウ、ケイ、きそ-う、せ-る
418;響;20;Oto;キョウ、ひび-く
419;驚;22;"Uma, Umahen";キョウ、おどろ-く、おどろ-かす
420;仰;6;"Hito, Ninben, Hitoyane";ギョウ、[コウ]、あお-ぐ、おお-せ
421;暁;12;"Nichi, Nichihen";ギョウ、あかつき
422;業;13;"Ki, Kihen";ギョウ、ゴウ、わざ
423;凝;16;Nisui;ギョウ、こ-る、こ-らす
424;曲;6;Hirabi;キョク、ま-がる、ま-げる
425;局;7;Shikabane;キョク
426;極;12;"Ki, Kihen";キョク、ゴク、きわ-める、きわ-まる、きわ-み
427;玉;5;"Tama, Oo";ギョク、たま
428;巾;3;"Haba, Kinben";キン
429;斤;4;"Kin, Onozukuri";キン
430;均;7;"Tsuchi, Tsuchihen";キン
431;近;7;Shinnyoo;キン、ちか-い
432;金;8;"Kane, Kanehen";キン、コン、かね、[かな]
433;菌;11;Kusakanmuri;キン
434;勤;12;Chikara;キン、[ゴン]、つと-める、つと-まる
435;琴;12;"Tama, Oo";キン、こと
